Audio Path,Segment Index,Plate Thickness,Electrode,Type of Current
audio/Placa_12mm/E6010/DC/240902-132741_Audio/240902-132741_6013-2.wav,0,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-132928_Audio/240902-132928_6013-2.wav,0,Placa_12mm,E6010,DC
audio/Placa_12mm/E6011/AC/240909-134918_Audio/240909-134918_6013-2.wav,0,Placa_12mm,E6011,AC
audio/Placa_12mm/E6011/AC/240909-134918_Audio/240909-134918_6013-2.wav,1,Placa_12mm,E6011,AC
audio/Placa_12mm/E6011/AC/240909-140307_Audio/240909-140307_6013-2.wav,0,Placa_12mm,E6011,AC
audio/Placa_12mm/E6011/AC/240909-140307_Audio/240909-140307_6013-2.wav,1,Placa_12mm,E6011,AC
audio/Placa_12mm/E6011/DC/240912-131906_Audio/240912-131906_6013-2.wav,0,Placa_12mm,E6011,DC
audio/Placa_12mm/E6011/DC/240912-134633_Audio/240912-134633_6013-2.wav,0,Placa_12mm,E6011,DC
audio/Placa_12mm/E6013/AC/240923-143459_Audio/240923-143459_6013-2.wav,0,Placa_12mm,E6013,AC
audio/Placa_12mm/E6013/AC/240923-144534_Audio/240923-144534_6013-2.wav,0,Placa_12mm,E6013,AC
audio/Placa_12mm/E6013/AC/240923-144534_Audio/240923-144534_6013-2.wav,1,Placa_12mm,E6013,AC
audio/Placa_12mm/E6013/AC/240923-144534_Audio/240923-144534_6013-2.wav,2,Placa_12mm,E6013,AC
audio/Placa_12mm/E6013/DC/240912-153659_Audio/240912-153659_6013-2.wav,0,Placa_12mm,E6013,DC
audio/Placa_12mm/E6013/DC/240912-154537_Audio/240912-154537_6013-2.wav,0,Placa_12mm,E6013,DC
audio/Placa_12mm/E7018/DC/240926-141210_Audio/240926-141210_6013-2.wav,0,Placa_12mm,E7018,DC
audio/Placa_12mm/E7018/DC/240926-141750_Audio/240926-141750_6013-2.wav,0,Placa_12mm,E7018,DC
audio/Placa_3mm/E6010/DC/240802-105934_Audio/240802-105934_6013-2.wav,0,Placa_3mm,E6010,DC
audio/Placa_3mm/E6010/DC/240802-111400_Audio/240802-111400_6013-2.wav,0,Placa_3mm,E6010,DC
audio/Placa_3mm/E6010/DC/240802-111400_Audio/240802-111400_6013-2.wav,1,Placa_3mm,E6010,DC
